Year,Make,Model,average buyer rating,# of buyers,average seller rating,# of sellers,,,adjusted buyer ranking,adjusted sellers ranking,,buyer rating reliability,seller rating reliability,,final ranking
2021,Hyundai,Palisade Calligraphy,4.9,364,4.86,12695,,,4.9,4.86,,100.0,100.0,,4.88
2016,Acura,MDX 3.5L AcuraWatch Plus Package,4.6,114,4.9,297,,,4.6,4.9,,99.93,100.0,,4.75
2020,Ford,Escape SEL,4.6,2530,4.71,14869,,,4.6,4.71,,100.0,100.0,,4.65
2020,Ford,Fusion SEL,4.8,770,4.65,11042,,,4.8,4.65,,100.0,100.0,,4.72
2019,Honda,CR-V LX,4.8,5940,4.7,12048,,,4.8,4.7,,100.0,100.0,,4.75
2017,Honda,Accord EX-L,4.8,1144,4.72,1157,,,4.8,4.72,,100.0,100.0,,4.76
2019,Kia,Sorento LX,4.7,5632,4.63,16129,,,4.7,4.63,,100.0,100.0,,4.67
2020,Jeep,Grand Cherokee Limited,4.8,7200,4.72,69907,,,4.8,4.72,,100.0,100.0,,4.76
2020,Nissan,Murano SL,4.9,228,4.76,15874,,,4.9,4.76,,100.0,100.0,,4.83
2019,GMC,Acadia SLT-1,4.8,1441,4.63,10042,,,4.8,4.63,,100.0,100.0,,4.71
2018,Audi,Q5 2.0T Tech Premium,4.7,3258,4.74,11054,,,4.7,4.74,,100.0,100.0,,4.72
2019,Cadillac,CTS 2.0L Turbo Luxury,4.9,112,4.75,8001,,,4.9,4.75,,99.91,100.0,,4.82
2019,Honda,CR-V Touring,4.8,5400,4.65,24604,,,4.8,4.65,,100.0,100.0,,4.72
2018,BMW,M550 M550i xDrive,4.6,26,4.0,818,,,3.66,4.0,,6.18,100.0,,3.98
2012,Mitsubishi,Outlander SE,4.1,16,2.6,128,,,3.12,2.6,,2.08,100.0,,2.61
2014,Mercedes-Benz,CLS-Class CLS 63 AMG S-Model 4MATIC,4.9,19,4.6,1121,,,3.93,4.6,,2.89,100.0,,4.58
2021,Kia,Seltos S,4.8,452,4.53,7548,,,4.8,4.53,,100.0,100.0,,4.67
2020,Chrysler,Pacifica Touring-L,4.8,413,4.59,6515,,,4.8,4.59,,100.0,100.0,,4.7
2015,Acura,TLX V6 Tech,4.5,375,4.44,3312,,,4.5,4.44,,100.0,100.0,,4.47
2008,Chrysler,Aspen Limited,4.8,45,4.3,116,,,4.16,4.3,,36.2,100.0,,4.26
2019,BMW,X1 xDrive28i,4.7,187,4.74,15347,,,4.7,4.74,,100.0,100.0,,4.72
2019,BMW,X7 xDrive40i,4.1,242,4.69,10093,,,4.1,4.69,,100.0,100.0,,4.39
2019,Kia,Sorento EX,4.7,1024,4.55,3336,,,4.7,4.55,,100.0,100.0,,4.62
2020,Lexus,GS 350 F Sport,5.0,2,4.8,1274,,,4.0,4.8,,0.43,100.0,,4.8
2019,Toyota,4Runner TRD Pro,4.8,567,4.59,4561,,,4.8,4.59,,100.0,100.0,,4.7
2022,Mercedes-Benz,GLB 250 Base 4MATIC,4.9,12,4.67,2366,,,3.91,4.67,,1.33,100.0,,4.66
2018,BMW,330 i xDrive,4.8,416,4.29,5064,,,4.8,4.29,,100.0,100.0,,4.54
2014,Toyota,RAV4 LE,4.4,192,4.5,1286,,,4.4,4.5,,100.0,100.0,,4.45
2016,Subaru,Outback 2.5i Premium,4.7,525,4.69,2018,,,4.7,4.69,,100.0,100.0,,4.7
2019,Lexus,RX 350 F Sport,4.8,1122,4.65,7302,,,4.8,4.65,,100.0,100.0,,4.72
2017,Audi,Q7 3.0T Premium Plus,4.7,1368,4.59,9065,,,4.7,4.59,,100.0,100.0,,4.64
2017,Mazda,CX-5 Grand Touring,4.8,522,4.6,772,,,4.8,4.6,,100.0,100.0,,4.7
2019,Cadillac,CTS 3.6L Luxury,4.9,16,4.5,77,,,3.92,4.5,,2.08,100.0,,4.49
2019,Lexus,IS 300 IS 300 F SPORT,4.9,11,5.0,3,,,3.91,4.01,,1.19,0.73,,3.95
2018,Cadillac,XT5 Luxury,4.8,4454,4.71,30032,,,4.8,4.71,,100.0,100.0,,4.75
2015,Chrysler,200 Limited,4.4,722,1.8,50,,,4.4,1.8,,100.0,99.62,,3.1
2020,Ford,Explorer Limited,4.5,1240,4.19,1201,,,4.5,4.19,,100.0,100.0,,4.35
2020,Jeep,Grand Cherokee Summit,4.8,450,4.5,1029,,,4.8,4.5,,100.0,100.0,,4.65
2021,Acura,RDX Technology Package,4.8,252,4.62,3153,,,4.8,4.62,,100.0,100.0,,4.71
2019,Mercedes-Benz,A-Class A 220 4MATIC,4.5,216,4.7,5168,,,4.5,4.7,,100.0,100.0,,4.6
2016,Cadillac,CT6 3.0L Twin Turbo Luxury,4.8,25,5.0,40,,,3.86,4.97,,5.56,96.6,,4.91
2021,Mercedes-Benz,E-Class E 350 4MATIC,4.7,14,4.8,1976,,,3.72,4.8,,1.66,100.0,,4.78
2020,Toyota,Prius LE,4.7,36,4.6,58,,,3.87,4.6,,16.99,99.94,,4.49
2021,Cadillac,XT6 Premium Luxury FWD,4.9,9,4.2,234,,,3.91,4.2,,0.95,100.0,,4.2
2020,Cadillac,XT5 Sport,4.8,115,4.82,5492,,,4.8,4.82,,99.94,100.0,,4.81
2020,Toyota,4Runner Limited,4.8,336,4.88,13900,,,4.8,4.88,,100.0,100.0,,4.84
2020,GMC,Acadia SLT,4.8,350,4.5,2875,,,4.8,4.5,,100.0,100.0,,4.65
2019,Toyota,Highlander LE Plus,4.6,363,4.4,13,,,4.6,3.46,,100.0,6.43,,4.53
2018,BMW,M550 i xDrive,4.6,13,1.0,1,,,3.61,0.0,,1.49,0.47,,2.75
2020,RAM,1500 Limited,4.8,2211,4.68,9830,,,4.8,4.68,,100.0,100.0,,4.74
2014,Mercedes-Benz,G-Class G 550,4.9,4,4.7,722,,,3.91,4.7,,0.54,100.0,,4.7
2018,Cadillac,XTS Luxury,4.8,27,4.5,427,,,3.87,4.5,,6.87,100.0,,4.46
2019,Nissan,Altima 2.5 SL,4.7,306,1.0,2,,,4.7,0.01,,100.0,0.59,,4.67
2014,BMW,435 i xDrive,4.8,28,3.4,472,,,3.88,3.4,,7.63,100.0,,3.43
2016,Porsche,Cayenne GTS,4.8,39,4.8,1789,,,4.02,4.8,,22.33,100.0,,4.66
2016,BMW,X1 xDrive 28i,4.6,200,4.66,11249,,,4.6,4.66,,100.0,100.0,,4.63
2019,Land,Rover Range Rover Evoque SE Premium,3.9,32,4.32,533,,,3.02,4.32,,11.51,100.0,,4.19
2020,Land,Rover Range Rover HSE,4.7,15,4.28,659,,,3.72,4.28,,1.86,100.0,,4.27
2020,Mercedes-Benz,CLA 250 Base,5.0,45,4.47,2046,,,4.36,4.47,,36.2,100.0,,4.44
2020,Ford,Expedition Limited,4.9,162,4.5,8490,,,4.9,4.5,,100.0,100.0,,4.7
2019,Acura,RDX Technology Package,4.3,1302,4.56,2871,,,4.3,4.56,,100.0,100.0,,4.43
2019,RAM,1500 Limited,4.7,948,4.4,2803,,,4.7,4.4,,100.0,100.0,,4.55
2017,Nissan,Armada Platinum,4.7,312,4.38,1958,,,4.7,4.38,,100.0,100.0,,4.54
2016,Tesla,Model X 70D,4.7,21,4.8,4504,,,3.74,4.8,,3.6,100.0,,4.76
2019,Mercedes-Benz,AMG E 53 Base 4MATIC,4.8,12,4.66,710,,,3.81,4.66,,1.33,100.0,,4.65
2020,Kia,Sorento LX V6,4.7,228,4.38,1022,,,4.7,4.38,,100.0,100.0,,4.54
2020,Lincoln,MKZ Reserve,4.8,36,4.87,772,,,3.97,4.87,,16.99,100.0,,4.74
2020,INFINITI,QX60 Luxe,4.8,507,4.69,11120,,,4.8,4.69,,100.0,100.0,,4.75
2020,Acura,RDX A-Spec,4.6,384,4.85,6125,,,4.6,4.85,,100.0,100.0,,4.72
2019,BMW,540 i,4.9,170,4.49,9733,,,4.9,4.49,,100.0,100.0,,4.69
2015,Lexus,GX 460 Base,4.8,112,4.47,2280,,,4.8,4.47,,99.91,100.0,,4.63
2020,Honda,Pilot EX-L,4.3,2416,4.64,10025,,,4.3,4.64,,100.0,100.0,,4.47
2020,Land,Rover Range Rover Evoque S,4.1,80,4.59,1749,,,4.07,4.59,,96.77,100.0,,4.33
2020,Nissan,Titan PRO-4X,4.9,12,4.7,114,,,3.91,4.7,,1.33,100.0,,4.69
2020,Ford,Explorer XLT,4.5,3968,4.55,9444,,,4.5,4.55,,100.0,100.0,,4.53
2017,Ford,F-150 Lariat,4.8,1704,4.42,1455,,,4.8,4.42,,100.0,100.0,,4.61
2017,Subaru,Outback 2.5i Premium,4.8,1468,4.75,1757,,,4.8,4.75,,100.0,100.0,,4.78
2012,Ford,Flex Limited,4.7,68,4.1,88,,,4.58,4.1,,88.49,100.0,,4.33
2020,Mercedes-Benz,AMG C 43 Base 4MATIC,5.0,6,4.63,1688,,,4.01,4.63,,0.68,100.0,,4.63
2017,INFINITI,QX80,4.8,50,4.8,1698,,,4.3,4.8,,50.0,100.0,,4.63
2019,Nissan,Sentra S,4.7,710,4.7,2794,,,4.7,4.7,,100.0,100.0,,4.7
2016,Lexus,NX 200t F Sport,4.9,198,4.79,2028,,,4.9,4.79,,100.0,100.0,,4.84
2007,Jaguar,XK,4.8,27,4.4,11,,,3.87,3.44,,6.87,4.21,,3.71
2020,Toyota,Corolla LE,4.7,6757,4.53,18166,,,4.7,4.53,,100.0,100.0,,4.62
2018,Mercedes-Benz,GLS 450 GLS 450,4.8,13,4.7,846,,,3.81,4.7,,1.49,100.0,,4.69
2021,RAM,1500 Rebel,4.8,92,4.4,731,,,4.79,4.4,,99.15,100.0,,4.59
2020,Hyundai,Santa Fe Limited 2.4,4.8,404,4.76,3283,,,4.8,4.76,,100.0,100.0,,4.78
2016,Lexus,GS 350 Base,4.8,40,3.89,124,,,4.04,3.89,,24.36,100.0,,3.92
2015,Mercedes-Benz,M-Class ML 350,4.7,60,3.7,170,,,4.46,3.7,,75.64,100.0,,4.03
2018,Mercedes-Benz,AMG C 63 Base,4.7,4,4.4,13,,,3.71,3.46,,0.54,6.43,,3.48
2018,Chevrolet,Suburban LT,4.9,352,4.73,3967,,,4.9,4.73,,100.0,100.0,,4.81
2020,GMC,Acadia SLE,4.8,280,4.69,4574,,,4.8,4.69,,100.0,100.0,,4.74
2020,Alfa,Romeo Giulia Base,4.9,55,4.79,5148,,,4.54,4.79,,63.8,100.0,,4.69
2020,Porsche,Cayenne Base,4.3,10,4.7,658,,,3.31,4.7,,1.06,100.0,,4.69
2019,Audi,e-tron Prestige,4.5,24,4.7,122,,,3.55,4.7,,4.99,100.0,,4.65
2013,Chevrolet,Impala LS,4.3,170,4.3,16,,,4.3,3.42,,100.0,11.83,,4.21
2019,Acura,MDX 3.5L,4.6,693,4.72,8703,,,4.6,4.72,,100.0,100.0,,4.66
2019,Acura,MDX 3.5L w/Advance Package,4.6,126,1.6,28,,,4.6,1.26,,99.98,66.14,,3.27
2015,BMW,M4 Base,4.8,180,4.37,2514,,,4.8,4.37,,100.0,100.0,,4.58
2015,Audi,R8 4.2,4.7,7,3.4,237,,,3.71,3.4,,0.76,100.0,,3.4
2019,Honda,Pilot EX-L w/Navigation/RES,4.8,892,4.71,6031,,,4.8,4.71,,100.0,100.0,,4.75
2019,Acura,RDX Base (A10),4.3,217,4.6,1108,,,4.3,4.6,,100.0,100.0,,4.45
2019,BMW,X5 xDrive50i,4.7,275,4.86,3201,,,4.7,4.86,,100.0,100.0,,4.78
2019,Hyundai,Santa Fe SE 2.4,4.8,1428,4.71,12966,,,4.8,4.71,,100.0,100.0,,4.75
2019,Mercedes-Benz,GLA 250 Base 4MATIC,4.6,759,4.68,20851,,,4.6,4.68,,100.0,100.0,,4.64
2017,Lexus,RX 350,4.7,261,4.7,881,,,4.7,4.7,,100.0,100.0,,4.7
2017,Jaguar,F-TYPE R,4.7,31,4.3,1366,,,3.8,4.3,,10.4,100.0,,4.25
2013,Porsche,Panamera 4,4.7,12,4.6,893,,,3.71,4.6,,1.33,100.0,,4.59
2021,INFINITI,QX80 PREMIUM SELECT,4.3,4,4.15,128,,,3.31,4.15,,0.54,100.0,,4.15
2020,Tesla,Model Y Performance,3.7,60,4.37,3746,,,3.46,4.37,,75.64,100.0,,3.98
2019,Volvo,XC90 T5 Momentum,4.7,414,4.7,8227,,,4.7,4.7,,100.0,100.0,,4.7
2019,Lincoln,MKC Reserve,4.7,560,4.77,21834,,,4.7,4.77,,100.0,100.0,,4.73
2019,Mercedes-Benz,A-Class A 220,4.5,360,4.73,11529,,,4.5,4.73,,100.0,100.0,,4.62
2021,Toyota,Highlander XLE,4.9,1023,4.78,9407,,,4.9,4.78,,100.0,100.0,,4.84
2019,Lexus,ES 350 F Sport,4.6,2057,4.67,14842,,,4.6,4.67,,100.0,100.0,,4.63
2020,Ford,Expedition XLT,4.9,135,4.64,4475,,,4.9,4.64,,99.99,100.0,,4.77
2019,Ford,Explorer Base,4.8,110,4.7,537,,,4.8,4.7,,99.89,100.0,,4.75
2011,Buick,LaCrosse CXS,4.4,95,3.7,44,,,4.39,3.69,,99.39,98.58,,4.04
2001,Mercedes-Benz,S-Class S430,4.7,18,3.1,12,,,3.73,2.15,,2.59,5.21,,2.67
2019,Honda,Pilot EX,4.8,1115,4.67,4412,,,4.8,4.67,,100.0,100.0,,4.73
2018,Lexus,LS 500 Base,4.6,96,4.3,1272,,,4.59,4.3,,99.46,100.0,,4.45
2022,Toyota,Sienna XLE,4.8,3,4.9,4039,,,3.8,4.9,,0.48,100.0,,4.89
2019,Audi,Q8 3.0T Prestige,4.8,54,4.17,514,,,4.41,4.17,,61.14,100.0,,4.26
2012,Cadillac,Escalade ESV Premium,4.9,22,4.4,1546,,,3.94,4.4,,4.02,100.0,,4.38
2020,Kia,Telluride S,4.8,844,4.3,371,,,4.8,4.3,,100.0,100.0,,4.55
2020,Lincoln,Nautilus Reserve,4.8,390,4.86,6798,,,4.8,4.86,,100.0,100.0,,4.83
2019,Buick,Encore Essence,4.7,1456,4.75,5006,,,4.7,4.75,,100.0,100.0,,4.72
2021,Chevrolet,Corvette Stingray w/2LT,4.9,26,4.76,1959,,,3.96,4.76,,6.18,100.0,,4.71
2021,Jeep,Grand Cherokee Trailhawk,4.7,174,4.77,5885,,,4.7,4.77,,100.0,100.0,,4.73
2019,Mercedes-Benz,CLA 250 CLA 250,4.1,34,4.8,1611,,,3.24,4.8,,14.02,100.0,,4.61
2018,Acura,TLX V6,4.7,83,4.5,162,,,4.68,4.5,,97.68,100.0,,4.59
2020,Volkswagen,Tiguan 2.0T SE,4.7,944,4.77,13195,,,4.7,4.77,,100.0,100.0,,4.73
2017,Land,Rover Range Rover Sport 5.0L Supercharged SVR,4.8,38,4.7,148,,,4.0,4.7,,20.42,100.0,,4.58
2019,Land,Rover Range Rover Sport Autobiography,4.7,22,4.6,3222,,,3.74,4.6,,4.02,100.0,,4.57
2020,Mercedes-Benz,GLC 300 4MATIC Coupe,4.8,105,4.84,4643,,,4.8,4.84,,99.8,100.0,,4.82
2020,Lexus,NX 300,4.8,38,3.0,4,,,4.0,2.01,,20.42,0.91,,3.92
2020,Ford,Ranger Lariat,4.8,73,4.9,3815,,,4.73,4.9,,93.13,100.0,,4.82
2021,BMW,X1 xDrive28i,5.0,18,4.8,11589,,,4.03,4.8,,2.59,100.0,,4.78
2021,Acura,TLX A-Spec,4.7,84,4.76,3413,,,4.68,4.76,,97.92,100.0,,4.72
2014,Hyundai,Veloster Turbo,4.5,42,4.8,472,,,3.79,4.8,,28.77,100.0,,4.57
2015,Ford,Mustang GT Premium,4.8,276,4.8,154,,,4.8,4.8,,100.0,100.0,,4.8
2020,Cadillac,XT6 Premium Luxury AWD,4.6,153,4.87,2247,,,4.6,4.87,,100.0,100.0,,4.73
2019,Subaru,Forester Touring,4.7,2511,4.69,17168,,,4.7,4.69,,100.0,100.0,,4.7
2016,BMW,340 i xDrive,4.6,51,4.58,5225,,,4.13,4.58,,52.83,100.0,,4.42
2021,Subaru,Outback Limited XT,4.8,162,4.6,1634,,,4.8,4.6,,100.0,100.0,,4.7
2021,Jeep,Wrangler Unlimited Sport,4.9,230,4.64,2755,,,4.9,4.64,,100.0,100.0,,4.77
2015,Mercedes-Benz,SLK-Class SLK 250,4.8,14,4.7,1660,,,3.82,4.7,,1.66,100.0,,4.69
2021,RAM,1500 Limited,4.8,1380,4.51,13053,,,4.8,4.51,,100.0,100.0,,4.65
2020,Toyota,Tacoma TRD Off Road,4.7,615,4.55,6626,,,4.7,4.55,,100.0,100.0,,4.62
2017,Subaru,Outback 2.5i Limited,4.8,2202,4.68,13756,,,4.8,4.68,,100.0,100.0,,4.74
2018,Audi,A6 2.0T quattro Sport,4.7,23,4.5,742,,,3.74,4.5,,4.48,100.0,,4.47
2021,Toyota,Tundra SR5,4.9,384,4.66,10993,,,4.9,4.66,,100.0,100.0,,4.78
2016,Acura,RDX Base,4.8,61,4.7,1358,,,4.58,4.7,,77.67,100.0,,4.65
2021,Nissan,Rogue SV,4.7,658,4.77,28521,,,4.7,4.77,,100.0,100.0,,4.73
2016,Jeep,Grand Cherokee Laredo,4.7,405,4.87,5107,,,4.7,4.87,,100.0,100.0,,4.79
2017,Jaguar,F-PACE 35t R-Sport,4.7,177,4.9,4689,,,4.7,4.9,,100.0,100.0,,4.8
2019,Nissan,Rogue SL,4.7,3825,4.61,12678,,,4.7,4.61,,100.0,100.0,,4.66
2010,Mazda,Mazda3 i Sport,4.6,240,4.3,134,,,4.6,4.3,,100.0,100.0,,4.45
2017,Ford,Expedition EL Limited,4.8,102,4.69,567,,,4.8,4.69,,99.72,100.0,,4.74
2017,Kia,Forte LX,4.8,2372,4.95,160,,,4.8,4.95,,100.0,100.0,,4.87
2016,Jeep,Wrangler Unlimited Rubicon,4.5,161,3.9,63,,,4.5,3.9,,100.0,99.98,,4.2
2019,BMW,X6 xDrive35i,4.0,16,4.5,1222,,,3.02,4.5,,2.08,100.0,,4.47
2019,Mazda,CX-5 Touring,4.8,1610,4.6,2219,,,4.8,4.6,,100.0,100.0,,4.7
2019,Acura,RDX A-Spec,4.3,1736,4.66,4961,,,4.3,4.66,,100.0,100.0,,4.48
2018,Ford,Explorer Limited,4.8,2650,4.71,10482,,,4.8,4.71,,100.0,100.0,,4.75
2007,Cadillac,DTS,4.6,61,4.8,929,,,4.38,4.8,,77.67,100.0,,4.61
2008,Chevrolet,Silverado 2500 LTZ H/D Crew Cab,4.5,28,4.9,4171,,,3.58,4.9,,7.63,100.0,,4.81
2017,Nissan,Murano SL,4.8,206,4.1,814,,,4.8,4.1,,100.0,100.0,,4.45
2019,Ford,F-150 Lariat,4.8,2975,4.63,9835,,,4.8,4.63,,100.0,100.0,,4.71
2020,Subaru,Outback Limited XT,4.7,860,4.78,1968,,,4.7,4.78,,100.0,100.0,,4.74
2013,Ford,Focus Titanium,3.7,315,4.7,212,,,3.7,4.7,,100.0,100.0,,4.2
2018,BMW,M2 Base,4.9,32,4.6,534,,,4.02,4.6,,11.51,100.0,,4.54
2019,Mazda,CX-9 Grand Touring,5.0,416,4.87,33993,,,5.0,4.87,,100.0,100.0,,4.94
2019,Jeep,Grand Cherokee Summit,4.8,448,4.8,274,,,4.8,4.8,,100.0,100.0,,4.8
2020,Honda,Pilot Touring 8-Passenger,4.3,302,4.84,7148,,,4.3,4.84,,100.0,100.0,,4.57
2003,Mercedes-Benz,SL-Class SL500 Roadster,4.4,86,3.75,189,,,4.38,3.75,,98.34,100.0,,4.06
2019,Subaru,Crosstrek 2.0i Limited,4.7,2255,4.79,13826,,,4.7,4.79,,100.0,100.0,,4.75
2021,Audi,RS 5 2DR 2.9 TFSI QTRO,4.9,4,4.1,64,,,3.91,4.1,,0.54,99.98,,4.1
2017,Honda,CR-V EX-L,4.8,6424,4.77,6960,,,4.8,4.77,,100.0,100.0,,4.79
2019,Chrysler,Pacifica Touring-L,4.7,344,4.52,3109,,,4.7,4.52,,100.0,100.0,,4.61
2019,Kia,Optima LX,4.8,298,4.0,232,,,4.8,4.0,,100.0,100.0,,4.4
2016,Subaru,Impreza 2.0i Premium,4.5,112,4.08,228,,,4.5,4.08,,99.91,100.0,,4.29
2021,Subaru,Outback Limited,4.8,405,4.53,1011,,,4.8,4.53,,100.0,100.0,,4.67
2016,Toyota,Tundra 1794,4.8,216,4.66,1791,,,4.8,4.66,,100.0,100.0,,4.73
2020,Chevrolet,Traverse High Country,4.9,112,4.6,837,,,4.9,4.6,,99.91,100.0,,4.75
2020,Mitsubishi,Mirage G4 LE,5.0,12,4.8,2773,,,4.01,4.8,,1.33,100.0,,4.79
2019,Maserati,Ghibli S Q4,4.9,9,4.3,2685,,,3.91,4.3,,0.95,100.0,,4.3
2017,Toyota,RAV4 XLE,4.8,3546,4.65,6846,,,4.8,4.65,,100.0,100.0,,4.72
2020,Kia,Telluride EX,4.8,844,4.87,3104,,,4.8,4.87,,100.0,100.0,,4.83
2018,INFINITI,Q50 3.0t LUXE,4.7,546,4.57,2935,,,4.7,4.57,,100.0,100.0,,4.63
2021,Mercedes-Benz,GLA 250 Base 4MATIC,4.9,95,4.73,3133,,,4.89,4.73,,99.39,100.0,,4.81
2019,Lincoln,Navigator L Select,4.5,6,4.8,708,,,3.51,4.8,,0.68,100.0,,4.79
2020,Dodge,Durango R/T,4.9,322,4.4,7588,,,4.9,4.4,,100.0,100.0,,4.65
2018,Lexus,ES 350 Base,4.9,280,4.77,2785,,,4.9,4.77,,100.0,100.0,,4.83
2020,Lexus,GX 460 Luxury,4.9,22,4.8,1919,,,3.94,4.8,,4.02,100.0,,4.77
2019,BMW,430 i xDrive,4.9,16,4.8,3982,,,3.92,4.8,,2.08,100.0,,4.78
2013,Lincoln,MKZ Base,4.6,236,4.56,334,,,4.6,4.56,,100.0,100.0,,4.58
2011,Mazda,Mazda3 s Sport,4.5,162,4.4,132,,,4.5,4.4,,100.0,100.0,,4.45
2020,Honda,Civic LX,4.9,5070,4.61,38664,,,4.9,4.61,,100.0,100.0,,4.76
2019,Mercedes-Benz,G-Class G 550 4MATIC,4.3,15,4.47,3191,,,3.32,4.47,,1.86,100.0,,4.45
2019,BMW,740 i xDrive,4.5,8,4.81,3814,,,3.51,4.81,,0.85,100.0,,4.8
2019,Ford,Flex SEL,4.8,250,4.77,5548,,,4.8,4.77,,100.0,100.0,,4.78
2019,Chevrolet,Trax LT,4.3,1963,4.81,24199,,,4.3,4.81,,100.0,100.0,,4.55
2019,Audi,Q7 55 Premium Plus,4.7,132,4.57,1743,,,4.7,4.57,,99.99,100.0,,4.63
2021,Land,Rover Range Rover P525 HSE Westminster,5.0,2,4.7,98,,,4.0,4.7,,0.43,100.0,,4.7
2013,BMW,328 i xDrive,4.6,477,3.7,394,,,4.6,3.7,,100.0,100.0,,4.15
2018,Chevrolet,Silverado 1500 LT,4.6,1047,4.42,1297,,,4.6,4.42,,100.0,100.0,,4.51
2019,Jeep,Wrangler Unlimited Sahara,4.6,327,4.69,7866,,,4.6,4.69,,100.0,100.0,,4.64
2006,Toyota,4Runner Limited,4.7,103,4.6,459,,,4.7,4.6,,99.75,100.0,,4.65
2014,Honda,Odyssey EX-L,4.6,129,4.7,635,,,4.6,4.7,,99.99,100.0,,4.65
2020,Mercedes-Benz,AMG G 63 Base,4.1,9,4.89,2484,,,3.11,4.89,,0.95,100.0,,4.87
2006,Jeep,Wrangler Unlimited Rubicon,4.3,66,3.1,267,,,4.16,3.1,,85.98,100.0,,3.59
2019,Subaru,Forester Base (CVT),4.7,558,4.7,3994,,,4.7,4.7,,100.0,100.0,,4.7
2018,Acura,TLX Technology,4.7,166,4.6,1092,,,4.7,4.6,,100.0,100.0,,4.65
2018,Cadillac,Escalade ESV Luxury,5.0,22,4.55,475,,,4.04,4.55,,4.02,100.0,,4.53
2019,Jeep,Wrangler Sport,4.8,150,4.59,1069,,,4.8,4.59,,100.0,100.0,,4.69
2020,Chevrolet,Trax LS,4.5,1000,4.7,14007,,,4.5,4.7,,100.0,100.0,,4.6
2020,Honda,Odyssey EX-L w/Navigation/RES,4.7,53,3.5,11,,,4.28,2.54,,58.42,4.21,,4.17
2015,Acura,MDX 3.5L Technology Package,4.7,378,4.5,1213,,,4.7,4.5,,100.0,100.0,,4.6
2017,Genesis,G90 5.0 Ultimate,4.8,52,4.4,53,,,4.36,4.4,,55.64,99.81,,4.38
2021,Volvo,S60 T5 Momentum,5.0,11,4.7,1678,,,4.01,4.7,,1.19,100.0,,4.69
2021,Mitsubishi,Outlander Sport 2.0 SE,4.9,26,4.18,889,,,3.96,4.18,,6.18,100.0,,4.17
2016,Porsche,Cayenne S,4.8,195,4.78,1249,,,4.8,4.78,,100.0,100.0,,4.79
2022,Toyota,Corolla LE,5.0,10,4.51,5759,,,4.01,4.51,,1.06,100.0,,4.5
2005,Lexus,ES 330 Base (A5),4.7,83,4.3,6,,,4.68,3.31,,97.68,1.42,,4.66
2021,Mercedes-Benz,GLE 350 4MATIC,4.8,51,4.77,842,,,4.33,4.77,,52.83,100.0,,4.62
2021,BMW,X3 sDrive30i,4.7,406,4.51,9785,,,4.7,4.51,,100.0,100.0,,4.61
2015,Mercedes-Benz,S-Class S 550,4.9,476,4.53,4667,,,4.9,4.53,,100.0,100.0,,4.71
2020,Cadillac,XT6 Premium Luxury FWD,4.6,255,4.83,7775,,,4.6,4.83,,100.0,100.0,,4.71
2021,Tesla,Model 3 Standard Range Plus,3.0,12,4.55,15209,,,2.01,4.55,,1.33,100.0,,4.52
2020,Toyota,Camry,4.8,142,4.0,104,,,4.8,4.0,,100.0,100.0,,4.4
2021,Kia,Sorento S,4.8,52,5.0,264,,,4.36,5.0,,55.64,100.0,,4.77
2018,BMW,530 i xDrive,4.8,18,4.9,1695,,,3.83,4.9,,2.59,100.0,,4.87
2017,INFINITI,QX50 Base,4.7,138,4.78,642,,,4.7,4.78,,100.0,100.0,,4.74
2018,GMC,Terrain Denali,4.6,258,2.3,15,,,4.6,1.4,,100.0,9.7,,4.32
2021,Lexus,GX 460 Base,4.6,176,4.66,15470,,,4.6,4.66,,100.0,100.0,,4.63
2021,Volkswagen,Tiguan 2.0T SE,4.7,60,4.37,285,,,4.46,4.37,,75.64,100.0,,4.41
2016,Toyota,RAV4 Hybrid Limited,4.7,36,4.8,359,,,3.87,4.8,,16.99,100.0,,4.66
2021,Volvo,S60 T6 Inscription,5.0,22,4.7,1462,,,4.04,4.7,,4.02,100.0,,4.67
2015,Subaru,Forester 2.5i Premium,4.5,504,4.5,600,,,4.5,4.5,,100.0,100.0,,4.5
2020,Bentley,Bentayga Design Edition,5.0,1,4.6,110,,,4.0,4.6,,0.39,100.0,,4.6
2019,Volvo,S90 T6 Momentum,4.9,16,4.6,2258,,,3.92,4.6,,2.08,100.0,,4.59
2019,Hyundai,Kona SEL,4.8,142,4.6,1611,,,4.8,4.6,,100.0,100.0,,4.7
2019,Ford,Edge ST,4.7,965,4.68,6314,,,4.7,4.68,,100.0,100.0,,4.69
2019,Mercedes-Benz,AMG GLC 43 Base 4MATIC,4.9,28,4.62,3391,,,3.98,4.62,,7.63,100.0,,4.57
2018,Volkswagen,Atlas 3.6L SE w/Technology,4.7,456,3.57,129,,,4.7,3.57,,100.0,100.0,,4.13
2017,Ford,F-150 XL,4.8,1704,4.25,657,,,4.8,4.25,,100.0,100.0,,4.53
2019,Porsche,911 Carrera 4S,4.9,26,4.83,108,,,3.96,4.83,,6.18,100.0,,4.78
2017,BMW,M2 Base,4.9,36,2.3,6,,,4.07,1.31,,16.99,1.42,,3.86
2019,Audi,Q8 3.0T Premium Plus,4.8,54,4.8,2300,,,4.41,4.8,,61.14,100.0,,4.65
2020,Mitsubishi,Outlander Sport,4.9,36,4.6,1252,,,4.07,4.6,,16.99,100.0,,4.52
