Year,Make,Model,average buyer rating,# of buyers,average seller rating,# of sellers,,,adjusted buyer ranking,adjusted sellers ranking,,buyer rating reliability,seller rating reliability,,final ranking
2016,Nissan,Rogue SV,4.5,2536,4.79,7011,,,4.5,4.79,,100.0,100.0,,4.64
2014,Mercedes-Benz,E-Class E 350 4MATIC,4.8,1760,4.53,6929,,,4.8,4.53,,100.0,100.0,,4.67
2012,BMW,X5 xDrive35i Premium,4.5,87,3.7,54,,,4.49,3.7,,98.51,99.85,,4.09
2020,Hyundai,Santa Fe SEL 2.4,4.8,3838,4.8,25073,,,4.8,4.8,,100.0,100.0,,4.8
2019,Mercedes-Benz,AMG E 63 S 4MATIC,5.0,10,4.67,4808,,,4.01,4.67,,1.06,100.0,,4.66
2019,Mercedes-Benz,S-Class S 560 4MATIC,4.6,154,4.82,15214,,,4.6,4.82,,100.0,100.0,,4.71
2020,Hyundai,Elantra SE,4.8,402,4.43,2449,,,4.8,4.43,,100.0,100.0,,4.62
2020,BMW,X3 M40i,4.9,459,4.89,86531,,,4.9,4.89,,100.0,100.0,,4.89
2019,Volkswagen,Golf R 2.0T w/DCC & Navigation,4.8,32,4.71,373,,,3.92,4.71,,11.51,100.0,,4.63
2018,Land,Rover Range Rover HSE,3.8,40,4.59,947,,,3.04,4.59,,24.36,100.0,,4.29
2018,BMW,430 Gran Coupe i xDrive,4.9,120,4.45,2281,,,4.9,4.45,,99.96,100.0,,4.67
2019,Mercedes-Benz,GLS 450 4MATIC,5.0,20,4.57,1685,,,4.03,4.57,,3.23,100.0,,4.55
2011,Lexus,LS 460 Base,5.0,26,3.7,42,,,4.06,3.68,,6.18,97.8,,3.7
2016,GMC,Yukon Denali,4.3,295,4.35,1470,,,4.3,4.35,,100.0,100.0,,4.32
2020,Mercedes-Benz,GLB 250 Base,4.1,288,4.61,11889,,,4.1,4.61,,100.0,100.0,,4.35
2021,Toyota,Camry SE,4.8,1173,4.57,6918,,,4.8,4.57,,100.0,100.0,,4.69
2018,Ford,Edge Sport,4.8,1392,4.76,7428,,,4.8,4.76,,100.0,100.0,,4.78
2019,Subaru,Crosstrek 2.0i Premium,4.7,5945,4.68,15096,,,4.7,4.68,,100.0,100.0,,4.69
2021,Toyota,4Runner Limited,4.9,588,4.67,27699,,,4.9,4.67,,100.0,100.0,,4.79
2016,Ford,F-150,4.6,782,4.7,1852,,,4.6,4.7,,100.0,100.0,,4.65
2012,Audi,A5 2.0T Premium,4.7,28,3.9,141,,,3.78,3.9,,7.63,100.0,,3.89
2015,Lexus,RC F Base,4.9,15,5.0,1,,,3.92,4.0,,1.86,0.47,,3.94
2021,Dodge,Challenger R/T,4.9,120,4.61,3130,,,4.9,4.61,,99.96,100.0,,4.75
2016,Mazda,CX-5 Grand Touring,4.7,1232,4.74,2564,,,4.7,4.74,,100.0,100.0,,4.72
2015,Honda,Accord EX-L,4.7,2790,4.69,8461,,,4.7,4.69,,100.0,100.0,,4.7
2017,Chevrolet,Camaro 2SS,4.8,1320,4.62,3138,,,4.8,4.62,,100.0,100.0,,4.71
2017,Nissan,Rogue S,4.7,547,4.9,1083,,,4.7,4.9,,100.0,100.0,,4.8
2019,Toyota,Highlander SE,4.6,2178,4.68,8913,,,4.6,4.68,,100.0,100.0,,4.64
2019,Chevrolet,Cruze LS,4.8,69,4.9,2808,,,4.7,4.9,,89.6,100.0,,4.8
2018,Chevrolet,Traverse Premier,4.7,532,4.8,2080,,,4.7,4.8,,100.0,100.0,,4.75
2020,Nissan,Murano SV,4.9,532,4.66,1153,,,4.9,4.66,,100.0,100.0,,4.78
2019,BMW,540 i xDrive,4.9,323,4.69,20612,,,4.9,4.69,,100.0,100.0,,4.79
2021,Volkswagen,Atlas 3.6L SEL Premium,4.8,168,4.26,4201,,,4.8,4.26,,100.0,100.0,,4.53
2015,Chevrolet,Tahoe LTZ,4.5,214,4.4,144,,,4.5,4.4,,100.0,100.0,,4.45
2020,Honda,Civic Sport,4.9,507,4.75,4477,,,4.9,4.75,,100.0,100.0,,4.83
2018,Nissan,Rogue SL,4.7,3735,4.45,3577,,,4.7,4.45,,100.0,100.0,,4.58
2017,Hyundai,Tucson SE,4.7,4361,4.7,6155,,,4.7,4.7,,100.0,100.0,,4.7
2019,Buick,Enclave Essence,4.6,882,4.82,20313,,,4.6,4.82,,100.0,100.0,,4.71
2015,Jeep,Wrangler Unlimited Sport,4.6,552,4.83,4211,,,4.6,4.83,,100.0,100.0,,4.71
2020,Buick,Enclave Essence,4.8,287,4.64,4883,,,4.8,4.64,,100.0,100.0,,4.72
2018,BMW,X5 M Base,4.8,12,4.6,848,,,3.81,4.6,,1.33,100.0,,4.59
2021,Genesis,GV80 2.5T,4.8,76,4.79,1907,,,4.75,4.79,,95.01,100.0,,4.77
