Year,Make,Model,Used/New,Price
2016,Acura,ILX Premium & A-SPEC Packages,Used,20575
2016,Chevrolet,Tahoe LTZ,Used,42500
2019,BMW,X5 xDrive50i,Used,69995
2017,Subaru,Impreza 2.0i,Used,16823
2017,Toyota,4Runner Limited,Used,37950
2019,Honda,Pilot EX-L,Used,36900
2020,Ford,Ranger XL,Used,33995
2019,Land,Rover Range Rover Velar P250 SE R-Dynamic,Used,54555
2018,Mercedes-Benz,C-Class C 300 4MATIC,Used,35360
2019,Cadillac,XT5 Luxury,Used,34897
2020,RAM,1500 Limited,Used,62000
2019,Honda,CR-V EX-L,Used,33312
2020,Audi,Q5 45 Premium Plus,Used,47441
2017,Lincoln,MKZ Premiere,Used,27991
2018,Acura,RDX AcuraWatch Plus Package,Used,27975
2019,Acura,RDX Base,Acura Certified,41495
2021,Honda,Pilot EX-L,Used,38441
2019,INFINITI,QX80 Luxe,Used,52506
2020,Honda,Odyssey Touring,Used,46041
2007,Cadillac,DTS Performance,Used,8099
2021,Lexus,RX 350 Base,Used,51400
2018,Toyota,RAV4 LE,Toyota Certified,24497
2019,Honda,Pilot EX-L,Used,36500
2021,Toyota,Tundra SR5,Used,50007
2019,Ford,F-150 XLT,Used,39690
2019,Cadillac,XT4 Premium Luxury,Used,33800
2019,Dodge,Journey Crossroad,Used,24500
2019,Acura,TLX FWD,Used,31203
2019,Mercedes-Benz,A-Class A 220,Mercedes-Benz Certified,35832
2019,Honda,Civic LX,Used,19898
2021,Toyota,4Runner Limited,Used,50900
2019,Lexus,RX 350 350,Used,47998
2019,Chevrolet,Trax LT,Used,20022
2019,Volvo,XC90 T6 Momentum,Used,43482
2019,BMW,330 i,Used,34664
2018,GMC,Yukon Denali,Used,58801
2018,Dodge,Durango GT,Used,32479
2019,BMW,X5 xDrive40i,Used,53750
2018,Jeep,Grand Cherokee Limited,Jeep Certified,31500
2019,Volkswagen,Tiguan 2.0T SEL Premium R-Line,Used,33998
2020,BMW,X7 xDrive40i,Used,72993
2018,Toyota,Highlander Hybrid Limited,Used,46000
2016,BMW,X5 xDrive35i,Used,28000
2021,Honda,Pilot Special Edition,Used,39531
2021,Audi,Q5 45 Premium,Used,42981
2019,Alfa,Romeo Stelvio Ti,Used,32000
2017,Mercedes-Benz,GLS 450 Base 4MATIC,Used,44995
2020,Lexus,NX 300 Base,Used,39988
2020,BMW,X3 xDrive30i,Used,37995
2019,Honda,Passport EX-L,Used,35499
2020,Lamborghini,Urus,Used,255000
2019,Cadillac,CTS 2.0L Turbo Luxury,Used,34480
2019,Lexus,GX 460 Base,Used,42393
2019,Acura,RDX Base,Used,35995
2019,INFINITI,QX60 Pure,Used,29385
2019,Volvo,XC40 T5 R-Design,Volvo Certified,39864
2019,BMW,X7 xDrive40i,Used,68943
2020,Volkswagen,Tiguan 2.0T SE,Used,27590
2019,Toyota,Camry SE,Used,27500
2019,BMW,330 i xDrive,BMW Certified,38571
2020,Tesla,Model Y Long Range,Used,71912
2015,Porsche,Cayenne S,Used,39983
2018,BMW,X3 xDrive30i,Used,31487
2019,Chevrolet,Silverado 1500 LD LT,Used,37200
2018,BMW,X5 xDrive35i,Used,40500
2020,Land,Rover Range Rover Evoque SE,Used,35899
2019,Mazda,CX-5 Grand Touring,Used,28575
2019,Honda,Pilot EX-L,Used,33895
2017,Acura,MDX 3.5L w/Technology Package,Used,33800
2020,Tesla,Model 3 Long Range,Used,52488
2021,Jeep,Grand Cherokee Limited,Jeep Certified,46333
2021,Toyota,Supra 3.0 Premium,Used,57891
2021,Toyota,Camry,Used,30595
2015,BMW,435 Gran Coupe i,Used,24472
2018,GMC,Yukon XL SLT,Used,44995
2020,BMW,X3 M Competition,BMW Certified,67995
2017,Ford,Fusion SE,Used,20998
2018,BMW,X3 M40i,Used,42998
2019,Lexus,RX 350 F Sport,Used,48795
2019,Honda,CR-V EX,Used,29249
2019,Audi,Q7 55 Prestige,Used,54992
2019,Lexus,RX 350 350,Used,48295
2019,Subaru,Outback 2.5i Limited,Subaru Certified,30000
2019,Subaru,Ascent Limited 7-Passenger,Used,35000
2021,GMC,Yukon Denali,Used,73000
2021,Toyota,RAV4 LE,Used,32380
2020,Lexus,RX 350,Used,42389
2019,Mercedes-Benz,C-Class C 300,Used,32580
2016,Lexus,ES 350 Base,Used,29900
2017,Chevrolet,Equinox Premier,Used,23988
2016,Honda,Odyssey Touring Elite,Used,30500
2013,Volvo,XC60 3.2 Premier Plus,Used,14999
2019,BMW,X5 xDrive50i,BMW Certified,66431
2020,Cadillac,XT6 Premium Luxury FWD,Cadillac Certified,49986
2015,Ford,Mustang V6,Used,19995
2019,Jeep,Grand Cherokee Limited,Used,30372
2021,Mazda,CX-5 Touring,Used,31998
2020,Honda,CR-V LX,Used,29699
2020,RAM,1500 Laramie,Used,52510
2016,Kia,Sorento SX,Used,20950
2020,BMW,X3 xDrive30i,Used,44995
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,32989
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,54989
2017,Ford,F-150 Lariat,Used,44943
2019,Honda,Pilot EX-L,Used,37998
2020,RAM,1500 Laramie,RAM Certified,47795
2018,BMW,X3 xDrive30i,Used,38491
2020,Lexus,ES 350 F Sport,Used,44187
2017,Ford,Edge Sport,Used,28762
2019,Honda,CR-V Touring,Honda Certified,35879
2019,Honda,CR-V EX-L,Used,31997
2013,Lincoln,MKZ Base,Used,14995
2019,Mercedes-Benz,GLC 300 Base 4MATIC,Used,37499
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Mercedes-Benz Certified,58695
2021,Mazda,CX-5 Grand Touring,Used,28770
2012,GMC,Acadia Denali,Used,17000
2019,Audi,A5 2.0T Premium Plus,Used,41000
2017,Chevrolet,Equinox LT,Used,23998
2021,Kia,Seltos S,Used,26655
2021,Hyundai,Palisade SEL,Used,47990
2020,BMW,M340 i,Used,50397
2020,GMC,Sierra 1500 Denali,Used,57947
2020,Lexus,ES 350 Base,Used,42545
2019,Nissan,Murano SV,Used,29991
2019,BMW,540 i xDrive,BMW Certified,46496
2018,Acura,RDX Technology Package,Used,26900
2020,Lexus,ES 350 Base,Used,44490
2020,Audi,Q5 45 Prestige,Used,47995
2016,BMW,X3 xDrive28i,Used,29998
2018,Cadillac,XT5 Luxury,Cadillac Certified,33900
2019,Cadillac,CT6 3.6L Premium Luxury,Used,43275
2020,Subaru,Ascent Limited 7-Passenger,Used,35789
2019,Chevrolet,Trax LT,Used,24995
2019,Chevrolet,Trax LT,Used,21499
2020,Cadillac,XT4 Premium Luxury,Cadillac Certified,37994
2019,Toyota,Highlander LE,Used,27000
2018,Toyota,Highlander Limited,Used,35499
2018,BMW,X5 xDrive35i,Used,43487
2020,BMW,X3 sDrive30i,BMW Certified,40337
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Used,71000
2019,Honda,CR-V EX-L,Honda Certified,33995
2020,Toyota,RAV4 LE,Used,31998
2019,Subaru,Ascent Limited 8-Passenger,Used,31899
2020,BMW,X7 xDrive40i,Used,72993
2018,Toyota,RAV4 LE,Used,24987
2019,Honda,CR-V EX-L,Used,29889
2019,Lexus,GX 460 Base,Used,44992
2019,Buick,Encore Preferred,Used,19875
2021,Chevrolet,Traverse LT Leather,Used,41497
2019,Honda,Ridgeline RTL-E,Honda Certified,34944
2019,Buick,Encore Essence,Used,27799
2021,Lexus,GX 460 Base,Used,59312
2013,Lexus,RX 350 Base,Used,17995
2021,Audi,Q3 45 S line Premium,Used,37999
2019,Nissan,Rogue SL,Nissan Certified,26699
2019,Jeep,Cherokee Limited,Jeep Certified,28479
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,56998
2019,Honda,CR-V EX-L,Honda Certified,32990
2018,BMW,X1 xDrive28i,BMW Certified,30698
2019,BMW,330 i xDrive,Used,36999
2019,Volvo,S60 T6 R-Design,Volvo Certified,37990
2019,Mazda,CX-5 Grand Touring,Used,31411
2020,Lexus,RX 350 Base,Used,44995
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,Used,64500
2014,GMC,Yukon XL 1500 Denali,Used,35626
2019,BMW,X1 sDrive28i,Used,32988
2010,Bentley,Continental Flying Spur Speed,Used,54533
2020,Tesla,Model Y Performance,Used,69888
2018,INFINITI,QX80 Base,Used,48955
2016,Subaru,Outback 2.5i Premium,Used,23362
2018,Ford,F-150 Lariat,Used,45989
2018,Tesla,Model S 75D,Used,60999
2018,Toyota,RAV4 XLE,Toyota Certified,27888
2018,Audi,Q3 2.0T Premium,Used,27973
2021,Audi,e-tron Prestige,Used,76992
2019,Audi,RS 5 2.9T,Used,64500
2019,INFINITI,QX50 ESSENTIAL,Used,34189
2018,Tesla,Model 3 Long Range,Used,50598
2020,Toyota,Corolla LE,Used,25598
2019,Subaru,Outback 3.6R Touring,Subaru Certified,32183
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,36974
2018,Audi,Q7 3.0T Prestige,Used,51665
2017,Subaru,Outback 3.6R Touring,Used,26985
2018,Jeep,Grand Cherokee Trailhawk,Used,36519
2012,GMC,Yukon Denali,Used,16975
2018,Toyota,RAV4 XLE,Used,26985
2021,Audi,Q7 55 Premium,Used,73700
2017,Audi,A3 2.0T Premium Plus,Used,29496
2019,BMW,750 i xDrive,Used,56996
2018,Land,Rover Range Rover Supercharged,Used,81750
2020,Honda,Pilot Elite,Used,45988
2019,Mercedes-Benz,C-Class C 300,Used,34514
2019,Porsche,Cayenne Base,Porsche Certified,71995
2018,Mercedes-Benz,C-Class C 300,Used,44990
2020,Cadillac,XT5 Sport,Cadillac Certified,54988
2021,Honda,Accord Touring 2.0T,Used,40100
2020,Nissan,Rogue SL,Used,31488
2020,Mazda,CX-9 Touring,Used,35499
2020,Volkswagen,Tiguan 2.0T SE,Used,30800
2020,BMW,X3 xDrive30i,Used,43701
2018,Lexus,GS 350 F Sport,Used,38399
2019,Buick,Encore Preferred,Used,22139
2019,Audi,A6 55 Premium Plus,Used,43299
2019,Honda,CR-V EX-L,Used,31023
2011,Lexus,IS 250 Base,Used,16900
2020,Jaguar,E-PACE SE,Used,46579
2018,Mercedes-Benz,C-Class C 300 4MATIC,Mercedes-Benz Certified,30574
2020,Mercedes-Benz,GLC 300 Base 4MATIC,Used,44777
2019,BMW,330 i xDrive,BMW Certified,39577
2017,Mercedes-Benz,GLS 450 Base 4MATIC,Used,45599
2020,BMW,X5 xDrive40i,Used,53310
2016,Lexus,NX 200t F Sport,Used,34955
2019,Cadillac,XT4 Sport,Used,39998
2020,INFINITI,QX60 Luxe,Used,39998
2020,BMW,750 i xDrive,Used,72465
2019,Acura,MDX 3.5L,Used,37289
2019,Lexus,RX 350 RX 350,Used,47000
2011,Mercury,Grand Marquis LS,Used,7098
2021,Lexus,RX 350 Base,Used,49999
2019,BMW,X5 xDrive40i,Used,51794
2020,BMW,X5 xDrive40i,Used,59288
2020,Nissan,Pathfinder SL,Used,29841
2020,Ford,Escape SEL,Ford Certified,28395
2019,Cadillac,CT6 3.6L Premium Luxury,Used,46000
2019,Mercedes-Benz,C-Class C 300 4MATIC,Used,36974
2021,Kia,Telluride SX,Used,53920
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,46642
2021,Lexus,IS 350 F Sport,Used,45998
2021,Honda,Pilot Special Edition,Used,42718
2021,Subaru,Impreza Premium,Used,27052
2016,Mercedes-Benz,E-Class E 400 4MATIC,Used,29998
2018,Mercedes-Benz,C-Class C 300,Mercedes-Benz Certified,29740
2020,Kia,Sorento LX,Used,26448
2018,Ford,F-150 XLT,Used,32500
2020,Acura,TLX A-Spec,Acura Certified,38000
2020,Dodge,Challenger R/T Scat Pack,Used,51500
2021,RAM,1500 Big Horn,Used,43991
2018,Dodge,Durango GT,Used,38663
2020,Toyota,Sienna XLE Premium,Used,35999
2018,Audi,Q5 2.0T Premium,Used,35430
2021,Cadillac,Escalade ESV Premium Luxury,Used,94997
2021,Audi,A4 45 S line quattro Premium,Used,39991
2020,Lincoln,MKZ Standard,Used,29900
2020,Honda,Civic LX,Used,24247
2019,Mazda,CX-9 Touring,Used,30339
2013,Audi,Q5 3.0T Premium Plus,Used,24296
2019,Nissan,Murano SL,Used,29495
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,91159
2019,Lexus,GX 460 Base,Used,41400
2021,Nissan,Maxima Platinum,Nissan Certified,40965
2018,Jeep,Grand Cherokee Limited,Used,26800
2021,Tesla,Model Y Long Range,Used,73293
2020,Honda,CR-V EX-L,Used,33500
2019,Jeep,Compass Latitude,Used,27289
2014,Mercedes-Benz,E-Class E 350,Used,29975
2019,BMW,X5 xDrive50i,BMW Certified,66788
2021,Audi,A4 40 Premium Plus,Used,43988
2018,Volvo,V90 Cross Country T6,Used,45599
2018,Mercedes-Benz,GLC 300 4MATIC,Mercedes-Benz Certified,33500
2021,Dodge,Charger Scat Pack,Used,63000
2019,Audi,SQ5 3.0T Premium,Used,48992
2019,Toyota,Sienna SE,Used,35998
2020,Mazda,CX-9 Grand Touring,Used,38495
2015,Mercedes-Benz,G-Class G 550,Used,88595
2018,Dodge,Charger SXT Plus,Used,29499
2020,Land,Rover Range Rover Evoque SE,Used,45000
2019,BMW,X5 xDrive40i,Used,51500
2021,Toyota,Corolla LE,Used,24995
2020,Lexus,ES 350 Base,Used,42294
2017,Subaru,Outback 3.6R Limited,Used,28599
2020,GMC,Terrain Denali,Used,39990
2019,Jeep,Grand Cherokee Limited,Used,36699
2021,BMW,M235 Gran Coupe i xDrive,BMW Certified,47332
2017,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Used,52951
2014,Mercedes-Benz,E-Class E 350 4MATIC,Used,21949
2019,Lexus,GX 460 Base,Used,44499
2021,BMW,X3 M40i,BMW Certified,60393
2018,Audi,Q7 2.0T Premium Plus,Used,38598
2018,Tesla,Model S 75D,Used,57443
2020,Hyundai,Palisade Limited,Used,49500
2021,Kia,Telluride SX,Used,52952
2018,Honda,Accord EX-L,Honda Certified,29000
2018,INFINITI,QX80 Base,Used,38998
2020,Toyota,RAV4 XLE,Used,32586
2021,INFINITI,QX50 Luxe,INFINITI Certified,39000
2019,BMW,X4 M40i,BMW Certified,54988
2018,Toyota,Tundra Platinum,Used,39987
2018,Toyota,4Runner Limited,Used,40011
2014,Mazda,Mazda6 i Touring,Used,14677
2018,Cadillac,XT5 Luxury,Used,29988
2020,BMW,X7 xDrive40i,Used,76697
2020,Honda,CR-V EX,Used,32405
2021,Chevrolet,Tahoe LT,Used,67800
2020,Jeep,Grand Cherokee Limited,Used,42349
2019,Honda,CR-V Touring,Used,30672
2020,Ford,Escape SEL,Used,29431
2020,BMW,740 i xDrive,Used,63614
2021,Toyota,C-HR LE,Used,28277
2021,Mercedes-Benz,GLE 350 Base,Mercedes-Benz Certified,68994
2020,Tesla,Model Y Long Range,Used,69000
2020,Honda,Pilot EX-L,Used,39997
2021,Hyundai,Tucson Ultimate,Used,35894
2016,BMW,528 i xDrive,Used,20499
2019,Honda,CR-V EX-L,Used,34782
2019,Cadillac,XT5 Luxury,Cadillac Certified,37658
2020,Ford,Edge Titanium,Used,34184
2019,Cadillac,XT4 Premium Luxury,Used,35676
2019,Chevrolet,Cruze LT,Used,17498
2021,Volkswagen,Tiguan 2.0T SEL,Used,34338
2020,Jeep,Cherokee Limited,Jeep Certified,29750
2017,Chevrolet,Trax LS,Chevrolet Certified,15988
2019,Lexus,RX 350 350,Used,44874
2019,Lexus,GX 460,Used,49509
2019,INFINITI,QX80 Luxe,Used,64990
2021,Toyota,Corolla LE,Used,23139
2015,Mercedes-Benz,GLK-Class GLK 350 4MATIC,Used,26593
2019,Volvo,XC90 T6 Momentum,Used,47998
2019,Jeep,Grand Cherokee Limited,Used,36000
2019,Subaru,Forester Limited,Subaru Certified,31000
2014,Volvo,XC90 3.2,Used,10795
2020,Cadillac,XT4 Premium Luxury,Used,32998
2013,Hyundai,Veloster Base,Used,14998
2020,Lexus,RX 350,Used,44429
2019,Volkswagen,Tiguan 2.0T SE,Used,23992
2018,BMW,M550 M550i xDrive,Used,43995
2018,BMW,X1 xDrive28i,Used,31658
2017,Lexus,GS 350 F Sport,Used,35477
2019,Porsche,Cayenne S,Used,77988
2020,Mazda,CX-9 Touring,Used,35800
2019,Toyota,Tundra SR5,Used,42987
2015,INFINITI,Q50 Base,Used,20900
2021,Toyota,Tacoma SR5,Used,30042
2021,Kia,Seltos S,Kia Certified,27000
2021,Audi,A4 45 S line quattro Premium,Used,41491
2022,Chevrolet,Tahoe LT,Used,62990
2012,Audi,Q5 2.0T Premium,Used,14498
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Used,56900
2019,Honda,HR-V Sport,Used,26531
2018,Chevrolet,Trax LT,Used,13399
2020,Acura,TLX Tech,Acura Certified,34244
2020,Lamborghini,Urus Base,Used,285000
2019,Nissan,Altima 2.5 SR,Used,24649
2019,Audi,Q8 3.0T Premium,Used,62281
2019,BMW,M550 i xDrive,BMW Certified,61177
2019,Acura,MDX 3.5L w/Technology Package,Used,39249
2020,Honda,Pilot EX-L,Used,37264
2019,INFINITI,QX50 ESSENTIAL,Used,32995
2018,BMW,X3 xDrive30i,BMW Certified,32995
2020,Chevrolet,Malibu 1LS,Used,26579
2017,Mercedes-Benz,E-Class E 300 Sport,Used,33900
2021,Toyota,RAV4 LE,Used,31590
2019,Lexus,RX 350 350,Used,43900
2020,Tesla,Model Y Long Range,Used,66779
2021,GMC,Yukon Denali,Used,85015
2019,Mercedes-Benz,GLA 250 Base 4MATIC,Mercedes-Benz Certified,31383
2018,BMW,X1 sDrive28i,Used,26788
2020,Acura,RDX A-Spec,Used,46998
2021,Subaru,Forester Premium,Used,33981
2020,Ford,Fusion Titanium,Used,23500
2021,Chevrolet,Suburban High Country,Used,81969
2020,RAM,1500 Laramie,Used,51987
2021,Dodge,Durango R/T,Used,49888
2017,Maserati,Levante S,Used,48999
2019,Audi,RS 5 2.9T,Used,63500
2018,Tesla,Model S 75D,Used,58749
2020,BMW,X3 M40i,BMW Certified,56861
2017,Lincoln,MKC Reserve,Used,28659
2019,Subaru,Ascent Limited 7-Passenger,Used,35498
2014,BMW,X3 xDrive35i,Used,27999
2019,GMC,Yukon Denali,Used,61974
2018,Nissan,Murano SL,Nissan Certified,31959
2016,Ford,Focus SE,Used,5090
2016,Jeep,Grand Cherokee Laredo,Used,22980
2019,INFINITI,QX80 Luxe,Used,42980
2020,Ford,Expedition XLT,Used,52481
2019,Cadillac,XT4 Sport,Used,38180
2017,Chevrolet,Cruze LT,Used,15991
2021,Audi,Q3 45 S line Premium,Used,39989
2021,Chevrolet,Tahoe Z71,Used,75993
2019,Mercedes-Benz,AMG GLC 43 Base 4MATIC,Used,51987
2020,Honda,Pilot EX-L,Used,38750
2021,Hyundai,Santa Fe Calligraphy,Used,44725
2019,Honda,CR-V EX-L,Honda Certified,31999
2020,Nissan,Rogue Sport S,Used,22489
2008,BMW,X5 4.8i,Used,14999
2021,Lexus,IS 350 F Sport,Used,63988
2019,Honda,CR-V Touring,Honda Certified,35879
2017,Mercedes-Benz,GLS 450 Base 4MATIC,Used,34374
2019,Honda,CR-V EX-L,Honda Certified,33998
2019,BMW,440 i xDrive,BMW Certified,42189
2020,Honda,CR-V EX-L,Used,33543
2018,Mercedes-Benz,AMG C 43 Base 4MATIC,Used,47998
2019,Kia,Sorento LX,Used,23788
2019,Jeep,Grand Cherokee Limited,Used,34988
2021,Mazda,CX-5 Touring,Used,27599
2019,Acura,RDX Technology Package,Acura Certified,41825
2020,Buick,Enclave Avenir,Used,45500
2020,Toyota,RAV4 LE,Used,32845
2011,Honda,Pilot EX-L,Used,12250
2019,Jeep,Grand Cherokee Limited,Used,37995
2020,BMW,X5 M50i,Used,79900
2019,Jeep,Grand Cherokee Altitude,Used,36395
2020,Volkswagen,Tiguan 2.0T SE,Used,28469
2017,Chevrolet,Trax LS,Used,16823
2019,Jeep,Grand Cherokee Limited,Used,32992
2020,Ford,Escape SEL,Used,30849
2019,Cadillac,XT5 Luxury,Cadillac Certified,33432
2016,Toyota,4Runner Trail Premium,Used,34592
2021,Audi,Q7 55 Premium,Used,66995
2019,Honda,CR-V EX-L,Used,32154
2019,Volvo,XC60 T5 Momentum,Used,39816
2021,BMW,330 i,Used,40775
2020,Kia,Sorento LX,Used,29500
2020,Kia,Sorento LX,Used,29500
2020,Cadillac,XT5 Premium Luxury,Used,42990
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Mercedes-Benz Certified,60977
2019,Subaru,Outback 2.5i Limited,Used,33874
2019,Cadillac,XT5 Luxury,Used,32898
2019,Audi,Q5 2.0T Premium Plus,Used,42950
2020,Tesla,Model Y Long Range,Used,67900
2020,Nissan,Leaf SV,Used,29995
2019,Audi,A5 2.0T Premium,Used,42420
2016,Volkswagen,Golf R 4-Door,Used,26888
2019,BMW,X5 xDrive40i,BMW Certified,48790
2021,Mazda,CX-30 Premium Package,Used,30999
2020,Ford,Expedition XLT,Used,55997
2004,BMW,Z4 2.5i Roadster,Used,17990
2019,Honda,CR-V EX,Used,30722
2019,Cadillac,XT4 Premium Luxury,Used,37955
2020,Tesla,Model Y Long Range,Used,68995
2019,Honda,CR-V EX-L,Used,28999
2019,Subaru,Crosstrek 2.0i Premium,Subaru Certified,27264
2017,Ford,F-150 XL,Used,31300
2020,Lexus,ES 350 Base,Used,41500
2020,Chevrolet,Traverse LT Cloth,Used,34400
2018,Mercedes-Benz,GLS 450 Base 4MATIC,Used,45995
2018,Volvo,XC60 T6 Momentum,Volvo Certified,36415
2018,Jeep,Grand Cherokee Limited,Used,32000
2020,Jeep,Cherokee Latitude,Jeep Certified,25918
2019,Acura,RDX Advance Package,Acura Certified,43987
2019,Subaru,Forester Touring,Used,37000
2019,Honda,CR-V EX-L,Used,28888
2018,Honda,Accord EX,Used,28993
2019,Toyota,Corolla SE,Used,23600
2021,Honda,Pilot EX-L,Used,42100
2018,Lexus,RX 450h 450H,Used,43761
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE,Used,41995
2019,BMW,430 i,Used,38998
2018,Mercedes-Benz,C-Class C 300,Mercedes-Benz Certified,28893
2019,BMW,540 i,BMW Certified,45999
2020,BMW,X5 sDrive40i,BMW Certified,53952
2017,Honda,Accord EX-L,Used,25956
2015,Mercedes-Benz,S-Class S 63 AMG,Used,74995
2019,Mazda,CX-5 Touring,Used,29097
2020,Jeep,Grand Cherokee Trailhawk,Used,46992
2021,Jeep,Grand Cherokee Limited,Used,38575
2021,Toyota,Tacoma SR5,Toyota Certified,34841
2019,Lexus,RX 350 F Sport,Used,47695
2019,Mercedes-Benz,CLA 250 CLA 250,Used,32989
2020,Honda,CR-V EX-L,Honda Certified,36389
2015,Acura,MDX 3.5L Technology Package,Used,25875
2022,Porsche,911 GT3,Used,309888
2019,BMW,X5 xDrive40i,BMW Certified,56662
2019,BMW,540 i,Used,49488
2020,Lexus,GX 460 Base,Used,57888
2019,Mazda,CX-5 Grand Touring,Used,29500
2020,RAM,1500 Laramie,Used,44124
2005,Mazda,Tribute i,Used,5090
2019,Ford,F-150 XLT,Used,33662
2017,Ford,Expedition EL Limited,Used,37998
2015,Acura,MDX 3.5L Technology Package,Used,23291
2020,Jeep,Wrangler Unlimited Rubicon,Used,53493
2019,Honda,CR-V EX-L,Honda Certified,32995
2018,Subaru,Forester 2.5i Limited,Used,28995
2018,Honda,Accord EX-L 2.0T,Used,33999
2020,BMW,X3 xDrive30i,BMW Certified,45219
2022,Acura,MDX A-Spec,Acura Certified,60295
2018,GMC,Sierra 1500 SLT,Used,38999
2017,Chevrolet,Equinox LT,Used,20927
2010,Audi,A4 2.0T Premium Plus quattro,Used,8099
2019,Honda,CR-V EX-L,Used,31369
2020,Dodge,Durango R/T,Used,42530
2021,Mazda,CX-5 Grand Touring,Used,28859
2019,Cadillac,XT5 Luxury,Used,34897
2005,Porsche,Cayenne S,Used,9099
2018,Toyota,RAV4 XLE,Used,27500
2020,Lincoln,Nautilus Reserve,Used,40836
2019,INFINITI,QX60 Luxe,Used,37998
2020,Ford,Explorer XLT,Used,43863
2017,Jeep,Grand Cherokee Limited,Used,29580
2018,Lexus,RX 350 RX 350,Used,39964
2018,Lexus,RX 350,Used,42714
2019,Ford,F-150 XLT,Used,40992
2020,Jeep,Grand Cherokee Limited,Jeep Certified,34993
2019,Honda,CR-V EX-L,Used,32490
2019,Jeep,Grand Cherokee Altitude,Used,35960
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Used,49490
2019,Cadillac,XT5 Luxury,Cadillac Certified,33977
2018,Lexus,RX 350 350,Used,38495
2010,Mercedes-Benz,E-Class E 350,Used,16991
2021,Jeep,Grand Cherokee Trailhawk,Jeep Certified,48500
2018,Honda,Accord EX-L,Honda Certified,31995
2018,Toyota,RAV4 LE,Used,24488
2020,Lexus,NX 300 F Sport,Used,39491
2018,Toyota,RAV4 Limited,Used,31727
2019,Ford,Expedition Max Limited,Used,44890
2020,Toyota,Corolla LE,Used,17000
2019,BMW,X3 sDrive30i,Used,35389
2019,Honda,Passport EX-L,Used,33457
2020,Mazda,CX-5 Grand Touring,Used,31998
2019,Honda,CR-V EX-L,Used,34295
2020,Tesla,Model X Long Range,Used,97488
2021,Nissan,Murano Platinum,Used,43999
2015,Jeep,Grand Cherokee Summit,Used,27795
2018,Mercedes-Benz,GLA 250 Base 4MATIC,Used,28500
2021,BMW,X7 xDrive40i,Used,76000
2019,Maserati,Levante Base,Used,65985
2016,Nissan,Versa 1.6 S+,Used,7099
2019,BMW,X5 xDrive40i,Used,54250
2019,Honda,CR-V EX-L,Honda Certified,30595
2018,Chevrolet,Silverado 1500 LT,Used,33375
2019,Jeep,Grand Cherokee Limited,Used,31768
2020,Lexus,RX 350 Base,Used,44888
2021,Land,Rover Defender 110 X,Used,103982
2021,BMW,330 i xDrive,BMW Certified,43320
2017,Jeep,Grand Cherokee Limited,Used,26900
2019,Porsche,911 Carrera 4S,Used,145595
2019,Nissan,Maxima 3.5 SL,Used,29995
2019,Lexus,LS 500 Base,Used,60772
2020,Hyundai,Palisade SEL,Used,42781
2019,Honda,CR-V EX-L,Used,29718
2019,Honda,CR-V EX-L,Used,31777
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,71495
2020,Mercedes-Benz,GLE 350 Base 4MATIC,Mercedes-Benz Certified,60997
2019,Audi,Q8 3.0T Premium,Used,66777
2020,Chevrolet,Malibu 1LS,Used,26579
2019,BMW,X3 xDrive30i,Used,45477
2019,Nissan,Rogue SL,Used,29999
2019,Jeep,Grand Cherokee Limited,Used,37919
2019,Subaru,Crosstrek 2.0i Premium,Used,28000
2020,BMW,X5 xDrive40i,BMW Certified,57784
2021,Chevrolet,Tahoe LT,Used,64491
2019,Lexus,GX 460 Base,Used,43495
2020,Land,Rover Range Rover Sport SE,Used,69900
2014,BMW,X3 xDrive28i,Used,24800
2019,BMW,330 i,BMW Certified,32999
2018,Mazda,CX-5 Grand Touring,Used,25944
2015,Nissan,Pathfinder SL,Used,19563
2022,BMW,X2 xDrive28i,Used,37898
2020,Acura,MDX SH-AWD 7-Passenger,Used,40889
2019,BMW,X5 xDrive40i,Used,54499
2014,Mercedes-Benz,E-Class E 350 4MATIC,Used,39998
2017,Lexus,NX 200t F Sport,Used,35498
2015,Jeep,Grand Cherokee Limited,Used,21985
2021,BMW,X7 xDrive40i,Used,76950
2021,Mercedes-Benz,GLC 300 Base 4MATIC,Used,50950
2020,Jeep,Wrangler Unlimited Sahara,Used,45989
2019,INFINITI,QX80 Luxe,INFINITI Certified,52368
2019,BMW,X1 sDrive28i,Used,31885
2019,Ford,Edge Titanium,Ford Certified,25000
2019,Cadillac,XT4 Sport,Used,37890
2019,Audi,Q8 3.0T Premium,Used,66800
