Year,Make,Model,Used/New,Price
2007,Toyota,RAV4 Sport,Used,8050
2015,Chevrolet,Suburban 1500 LT,Used,33895
2016,Ford,F-150 XLT,Used,34997
2020,Acura,MDX 3.5L w/Technology Package,Used,45996
2019,Toyota,Tundra SR5,Used,39989
2021,Cadillac,Escalade Sport,Used,107998
2020,Chrysler,300 S,Used,34000
2021,Chrysler,300 S,Used,28500
2018,Honda,Civic LX,Used,20000
2013,Mercedes-Benz,SL-Class SL 550,Used,39785
2020,INFINITI,QX60 Pure,Used,31599
2019,BMW,X5 xDrive40i,BMW Certified,58992
2020,INFINITI,QX60 Pure,Used,29449
2012,Kia,Sorento SX,Used,4099
2019,Honda,Civic Sport,Used,24995
2003,Ford,Taurus SES,Used,4038
2020,Lexus,RX 350 Base,Used,47988
2020,Kia,Sorento LX,Used,28933
2019,Toyota,Tundra SR5,Toyota Certified,39997
2010,Lexus,LS 460 Base,Used,19990
2019,Chevrolet,Silverado 1500 Custom,Used,30490
2015,BMW,328 i,Used,15899
2021,Porsche,Macan GTS,Porsche Certified,84888
2021,Land,Rover Range Rover Sport HSE Silver Edition,Used,86995
2018,BMW,320 320i xDrive,Used,22950
2002,BMW,540 i,Used,22900
2016,Porsche,Cayenne Base,Used,28900
2019,Mazda,Mazda3 AWD w/Preferred Package,Used,16499
2018,BMW,320 i xDrive,Used,24985
2019,Genesis,G80 3.8,Used,38000
2020,Hyundai,Santa Fe SEL 2.4,Used,28459
2020,Hyundai,Santa Fe SEL 2.4,Used,31991
2020,Tesla,Model Y Long Range,Used,65995
2019,Mercedes-Benz,S-Class S 560 4MATIC,Mercedes-Benz Certified,71242
2013,Toyota,Highlander Base Plus,Used,20700
2019,Jeep,Grand Cherokee Altitude,Used,33750
2020,Acura,MDX 3.5L,Used,39412
2017,BMW,M3 Base,Used,55863
2020,Toyota,Tacoma SR,Used,33888
2020,Acura,MDX 3.5L w/Technology Package,Used,39900
2021,Tesla,Model Y Long Range,Used,71277
2013,Porsche,Boxster S,Used,57900
2010,Mazda,Mazda6 s Grand Touring,Used,9089
2018,Toyota,4Runner Limited,Used,39919
2019,Subaru,Forester,Used,26200
2018,Cadillac,XT5 Premium Luxury,Cadillac Certified,33682
2020,Tesla,Model Y Long Range,Used,73992
2019,BMW,X3 sDrive30i,Used,35400
2019,BMW,X3 sDrive30i,Used,31995
2012,Toyota,4Runner Limited,Used,24999
